A!FUNC_LOGICAL_PATH!COMP_DEVICE_TYPE!REFDES!FUNC_PRIM_FILE!COMP_PARENT_PPT!COMP_PARENT_PPT_PART!COMP_PARENT_PART_TYPE!FUNC_SCH_SIZE!FUNC_HAS_FIXED_SIZE!FUNC_DES!FUNC_GROUP!FUNC_ROOM!FUNC_TERM_IDENT!FUNC_CDS_FSP_INSTANCE_ID!FUNC_CDS_FSP_IS_FPGA!FUNC_CDS_FSP_UID!
J!C:/EDM/grey_matter_server/brain_board/output/brain_board/physical/brain_board.brd!Mon Mar  8 11:32:41 2021!-7425.00!-10499.00!32575.00!24501.00!0.01!mils!BRAIN_BOARD!48.700000 mil!12!UP TO DATE!
S!@worklib.brain_board(tbl_1):\I1039646739\@worklib.zynq_block(tbl_1):\I167231553\!RES-202000053,R0402,RES,VISHAYB!R66!discrete.resistor!!!RES!!!F222!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646739\@worklib.zynq_block(tbl_1):\I167231554\!RES-202000053,R0402,RES,VISHAYB!R67!discrete.resistor!!!RES!!!F221!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646736\@worklib.ddr3_block(tbl_1):\I167231508\!RES-202000053,R0402,RES,VISHAYB!R69!discrete.resistor!!!RES!!!F220!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646736\@worklib.ddr3_block(tbl_1):\I167231509\!RES-202000053,R0402,RES,VISHAYB!R70!discrete.resistor!!!RES!!!F219!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646732\@worklib.usb_block(tbl_1):\I167231527\!RES-202000053,R0402,RES,VISHAYB!R86!discrete.resistor!!!RES!!!F218!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646740\@worklib.dsp_block(tbl_1):\I167231492\!RES-202000049,R0402,RES,VISHAYB!R1!discrete.resistor!!!RES!!!F180!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646736\@worklib.ddr3_block(tbl_1):\I167231511\!RES-202000049,R0402,RES,VISHAYB!R119!discrete.resistor!!!RES!!!F179!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646736\@worklib.ddr3_block(tbl_1):\I167231512\!RES-202000049,R0402,RES,VISHAYB!R120!discrete.resistor!!!RES!!!F178!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646739\@worklib.zynq_block(tbl_1):\I167231593\!RES-202000049,R0402,RES,VISHAYB!R3!discrete.resistor!!!RES!!!F177!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646734\@worklib.mgmt_block(tbl_1):\I167231504\!RES-202000049,R0402,RES,VISHAYB!R30!discrete.resistor!!!RES!!!F176!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646732\@worklib.usb_block(tbl_1):\I167231528\!RES-202000049,R0402,RES,VISHAYB!R89!discrete.resistor!!!RES!!!F175!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646739\@worklib.zynq_block(tbl_1):\I167231605\!RES-202000051,R0402,RES,VISHAYB!R110!discrete.resistor!!!RES!!!F174!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646739\@worklib.zynq_block(tbl_1):\I167231606\!RES-202000051,R0402,RES,VISHAYB!R114!discrete.resistor!!!RES!!!F173!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646739\@worklib.zynq_block(tbl_1):\I167231686\!RES-202000051,R0402,RES,VISHAYB!R41!discrete.resistor!!!RES!!!F172!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646739\@worklib.zynq_block(tbl_1):\I167231687\!RES-202000051,R0402,RES,VISHAYB!R42!discrete.resistor!!!RES!!!F171!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646739\@worklib.zynq_block(tbl_1):\I167231688\!RES-202000051,R0402,RES,VISHAYB!R44!discrete.resistor!!!RES!!!F170!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646739\@worklib.zynq_block(tbl_1):\I167231600\!RES-202000051,R0402,RES,VISHAYB!R55!discrete.resistor!!!RES!!!F169!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646739\@worklib.zynq_block(tbl_1):\I167231601\!RES-202000051,R0402,RES,VISHAYB!R56!discrete.resistor!!!RES!!!F168!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646739\@worklib.zynq_block(tbl_1):\I167231689\!RES-202000051,R0402,RES,VISHAYB!R82!discrete.resistor!!!RES!!!F167!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646739\@worklib.zynq_block(tbl_1):\I167231690\!RES-202000051,R0402,RES,VISHAYB!R94!discrete.resistor!!!RES!!!F166!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646739\@worklib.zynq_block(tbl_1):\I167231604\!RES-202000051,R0402,RES,VISHAYB!R99!discrete.resistor!!!RES!!!F165!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646739\@worklib.zynq_block(tbl_1):\I167231527\!RES-202000038,R0402,RES,VISHAYB!R43!discrete.resistor!!!RES!!!F193!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646739\@worklib.zynq_block(tbl_1):\I167231528\!RES-202000038,R0402,RES,VISHAYB!R45!discrete.resistor!!!RES!!!F192!!!!!!!
